72184-1-entrytone|ᎠᏧᏣ|Achű:ja.|Boy
72216-1-vthirdinftone|ᎤᏓᎾᏩᏍᏙᏗ|U:danàwsdóhdi.|For him to be taking off running (For him to...)
72216-1-vthirdpasttone|ᎤᏓᎾᏩᏍᏔᏅᎢ|Ù:danâwstanv̌:ɂi.|He did tak off running (He did...a while ago)
72216-1-vthirdprestone|ᎠᏓᎾᏩᏍᏗᏍᎪᎢ|À:danâwsdǐ:sgóɂi.|He is usually taking off running (He usually...)
72217-1-entrytone|ᎠᏓᏁᏟᏴᎠ|À:daně:dlí:yvɂa.|He is changing
72217-1-vfirstprestone|ᎦᏓᏁᏟᏴᎠ|Gadaně:dlí:yv́ɂa.|I am changing (I am...)
72217-1-vsecondimpertone|ᎭᏓᏁᏟᏴᎾ|Hadane:dlí:yv̀:na.|Let you be changing (Let you...)
72217-1-vthirdinftone|ᎤᏓᏁᏟᏴᏍᏗ|U:daně:dlí:yv̀:sdi.|For him to be changing (For him to...)
72217-1-vthirdpasttone|ᎤᏓᏁᏟᏴᏒᎢ|Ù:daně:dlí:yv̀:sv̌:ɂi.|He did chang (He did...a while ago)
72217-1-vthirdprestone|ᎠᏓᏁᏟᏴᏍᎪᎢ|À:daně:dlí:yv̀:sgó:ɂi.|He is usually changing (He usually...)
72218-1-entrytone|ᎠᏓᏁᏟᏴᏍᏗᎭ|À:daně:dlí:yv̀:sdiha.|He is taking turns with him
72218-1-vfirstprestone|ᎦᏓᏁᏟᏴᏍᏗᎭ|Gadaně:dlí:yv̀:sdiha.|I am taking turns with him (I am...)
72218-1-vsecondimpertone|ᎭᏓᏁᏟᏴᏍᏓ|Hadane:dli:yv̀:sda.|Let you be taking turns with him (Let you...)
72218-1-vthirdinftone|ᎤᏓᏁᏟᏴᏍᏙᏗ|U:daně:dlí:yv̀:sdohdi.|For him to be taking turns with him (For him to...)
72218-1-vthirdpasttone|ᎤᏓᏁᏟᏴᏍᏔᏅᎢ|Ù:daně:dlí:yv̀:stanv̌:ɂi.|He did tak turns with him (He did...a while ago)
72218-1-vthirdprestone|ᎠᏓᏁᏟᏴᏍᏗᏍᎪᎢ|À:daně:dlí:yv̀:sdi:sgó:ɂi.|He is usually taking turns with him (He usually...)
72219-1-entrytone|ᎠᏓᏁᏟᏴᏍᏗᏍᎩ|Adaně:dlí:yv̀:sdi̋:sgi.|1. alternate  2. substitute
72219-1-nounadjpluraltone|ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ|Anadaně:dlí:yv̀:sdi̋:sgi.|1. alternate  2. substitute (plural)
72220-1-entrytone|ᎠᏓᏁᏢᎢ|À:da:ne:hlv̋:ɂi.|Provisions, supplies
72220-1-nounadjpluraltone|ᏓᏓᏁᎸᎢ|Dà:da:ně:hlv̋:i.|Provisions, supplies (plural)
72221-1-entrytone|ᎠᏓᏁᎸᎢ|À:da:ně:lv̋:ɂi.|Building
72221-1-nounadjpluraltone|ᏓᏓᏁᎸᎢ|Dà:da:ně:lv̋:ɂi.|Building (plural)
72222-1-entrytone|ᎠᏓᏅᏙ|Adanhdo.|Heart
72222-1-nounadjpluraltone|ᏗᏓᏅᏙ|Di:danhdo.|Heart (plural)
72223-1-entrytone|ᎠᏓᏅᏖᎭ|À:danhtéha.|He is thinking
72223-1-vfirstprestone|ᎦᏓᏅᏖᎭ|Gada:nv̀:téha.|I am thinking (I am...)
72223-1-vsecondimpertone|ᎭᏓᏅᏛᎳ|Hadanhtv̌:la.|Let you be thinking (Let you...)
72223-1-vthirdinftone|ᎤᏓᏅᏖᏗ|U:danhtehdi.|For him to be thinking (For him to...)
72223-1-vthirdpasttone|ᎤᏓᏅᏖᏢᎢ|Ù:danhtě:hlv́:ɂi.|He did think (He did...a while ago)
72223-1-vthirdprestone|ᎠᏓᏅᏖᏍᎪᎢ|À:danhtě:sgóɂi.|He is usually thinking (He usually...)
72224-1-entrytone|ᎠᏓᏅᏖᏗ|Adǎnhtehdi.|Thought
72225-1-entrytone|ᎠᏓᏅᏖᎯᎶᎠ|À:danhtě:hí:loɂa.|1. he is pondering it  2. he is considering
72225-1-vfirstprestone|ᎦᏓᏅᏖᎯᎶᎠ|Gada:nv̀:tě:hí:loɂa.|1. I am pondering it  2. I am considering (I am...)
72225-1-vsecondimpertone|ᎭᏓᏅᏖᎯᎶᏣ|Hadanhte:hi:lǒ:ja.|1. Let you be pondering it  2. Let you be considering (Let you...)
72225-1-vthirdinftone|ᎤᏓᏅᏖᎯᎶᏍᏗ|U:danhte:hi:lò:sdi.|1. For him to be pondering it  2. For him to be considering (For him to...)
72225-1-vthirdpasttone|ᎤᏓᏅᏖᎯᎶᎥᎢ|Ù:danhtě:hí:loɂv̌:ɂi.|1. He did ponder it  2. He did consider (He did...a while ago)
72225-1-vthirdprestone|ᎠᏓᏅᏖᎯᎶᏍᎪᎢ|À:danhtě:hi:lò:sgó:ɂi.|1. he is usually pondering it  2. he is usually considering (He usually...)
72226-1-entrytone|ᎠᏓᏃᏴᏟᏍᏗᎭ|À:dano:hyv:hlisdíha.|He is making noise
72226-1-vfirstprestone|ᎦᏓᏃᏴᎵᏍᏗᎭ|Gadano:yv̀:lì:sdíha.|I am making noise (I am...)
72226-1-vsecondimpertone|ᎭᏓᏃᏴᏟᏍᏓ|Hadano:hyv:hlisda.|Let you be making noise (Let you...)
72226-1-vthirdinftone|ᎤᏓᏃᏴᏟᏍᏙᏗ|U:dano:hyv:hlisdóhdi.|For him to be making noise (For him to...)
72226-1-vthirdpasttone|ᎤᏓᏃᏴᏟᏍᏔᏅᎢ|Ù:dano:hyv:hlistanv́:ɂi.|He did mak noise (He did...a while ago)
72226-1-vthirdprestone|ᎠᏓᏃᏴᏟᏍᏗᏍᎪᎢ|À:dano:hyv:hlisdǐ:sgóɂi.|He is usually making noise (He usually...)
72227-1-entrytone|ᎠᏓᏅᏏᏂ|À:dansǐ:ni.|He is crawling
72227-1-vfirstprestone|ᎦᏓᎾᏏᏂ|Gadanà:sǐ:ni.|I am crawling (I am...)
72227-1-vsecondimpertone|ᎭᏓᎾᏏᏄᎦ|Hadansi:nù:ga.|Let you be crawling (Let you...)
72227-1-vthirdinftone|ᎤᏓᎾᏏᏅᏍᏗ|U:dansǐ:nv̂:sdi.|For him to be crawling (For him to...)
72227-1-vthirdpasttone|ᎤᏓᎾᏏᏅᏒᎢ|Ù:dansǐ:nv̂:sv̌:ɂi.|He did crawl (He did...a while ago)
72227-1-vthirdprestone|ᎠᏓᎾᏏᏁᎪᎢ|À:dansǐ:nê:gô:ɂi.|He is usually crawling (He usually...)
72228-1-entrytone|ᎠᏓᏄᏖᏲᎭ|À:danú:te:yóha.|It is twisting
72228-1-vfirstprestone|ᎦᏓᏄᏖᏲᎭ|Gadanú:te:yóha.|I am twisting (I am...)
72228-1-vsecondimpertone|ᎭᏓᏄᏖᏯᎦ|Hadanù:te:yaga.|Let you be twisting (Let you...)
72228-1-vthirdinftone|ᎤᏓᏄᏖᏲᏗ|U:danù:tě:yô:di.|For him to be twisting (For him to...)
72228-1-vthirdpasttone|ᎤᏓᏄᏖᏲᎸᎢ|Ù:danú:te:yólv̌:ɂi.|He did twist (He did...a while ago)
72228-1-vthirdprestone|ᎠᏓᏄᏖᏲᎰᎢ|À:danù:te:yóhó:ɂi.|It is usually twisting (He usually...)
72229-1-entrytone|ᎠᏓᏅᎠ|À:dáɂnv:ɂa.|He is moving from one place to another
72229-1-vfirstprestone|ᎦᏓᏅᎠ|Gadáɂnvɂa.|I am moving from one place to another (I am...)
72229-1-vsecondimpertone|ᎭᏓᏅᎾ|Hadaɂnv̌:na.|Let you be moving from one place to another (Let you...)
72229-1-vthirdinftone|ᎤᏓᏅᏍᏗ|U:daɂnv̀:sdi.|For him to be moving from one place to another (For him to...)
72229-1-vthirdpasttone|ᎤᏓᏅᏒᎢ|Ù:dáɂnv̀:sv̌:ɂi.|He did mov from one place to another (He did...a while ago)
72229-1-vthirdprestone|ᎠᏓᏅᏍᎪᎢ|À:dáɂnv:sgó:ɂi.|He is usually moving from one place to another (He usually...)
72230-1-entrytone|ᎠᏓᏅᏍᎦ|À:danv̌:sga.|He is ordering it
72230-1-vfirstprestone|ᎦᏓᏅᏍᎦ|Gadanv́:sga.|I am ordering it (I am...)
72230-1-vsecondimpertone|ᎭᏓᏅᎳ|Hadanv̌:la.|Let you be ordering it (Let you...)
72230-1-vthirdinftone|ᎤᏓᏅᏍᏗ|U:danv̌:sdi.|For him to be ordering it (For him to...)
72230-1-vthirdpasttone|ᎤᏓᏅᏒᎢ|Ù:danv̌:sv́:ɂi.|He did order it (He did...a while ago)
72230-1-vthirdprestone|ᎠᏓᏅᏍᎪᎢ|À:danv̌:sgóɂi.|He is usually ordering it (He usually...)
72231-1-entrytone|ᎠᏓᏍᏓᏴᏗᎢ|Ada:sdàyhdi̋:i.|Kitchen
72231-1-nounadjpluraltone|ᏗᏓᏍᏓᏴᏗᎢ|Di:da:sdàyhdi̋:ɂi.|Kitchen (plural)
72232-1-entrytone|ᎠᏓᏍᏓᏴᎲᏍᎦ|À:da:sdâ:yv:hv́:sga.|She is cooking a meal
72232-1-vfirstprestone|ᎦᏓᏍᏓᏴᎲᏍᎦ|Gadà:sdâ:yvhv́:sga.|I am cooking a meal (I am...)
72232-1-vsecondimpertone|ᎭᏓᏍᏓᏴᎲᎦ|Hada:sdà:yv:hv̀:ga.|Let you be cooking a meal (Let you...)
72232-1-vthirdinftone|ᎤᏓᏍᏓᏴᏗ|U:da:sdàyhdi.|For her to be cooking a meal (For him to...)
72232-1-vthirdpasttone|ᎤᏓᏍᏓᏴᏅᎢ|Ù:dà:sdâ:yv:hnv̌:ɂi.|She did cook a meal (He did...a while ago)
72232-1-vthirdprestone|ᎠᏓᏍᏓᏴᎲᏍᎪᎢ|À:da:sdâ:yv:hvsgó:ɂi.|She is usually cooking a meal (He usually...)
72233-1-entrytone|ᎠᏓᏪᎯ|Adǎ:wé:hi.|Magician
72233-1-nounadjpluraltone|ᎠᏂᏓᏪᎯ|Ani:dǎ:wé:hi.|Magician (plural)
72234-1-entrytone|ᎠᏓᏪᎯ|Adǎ:we̋:hi.|Magical
72234-1-nounadjpluraltone|ᎠᏂᏓᏪᎯ|Ani:dǎ:we̋:hi.|Magical (plural)
72235-1-entrytone|ᎠᏓᏪᎳᎩᎠ|À:dawě:lágiɂa.|It is burning (flames)
72235-1-vfirstprestone|ᎦᏓᏪᎳᎩᎠ|Gadawě:lágiɂa.|I am burning (flames) (I am...)
72235-1-vsecondimpertone|ᎭᏓᏪᎳᎦ|Hadawe:laga.|Let you be burning (flames) (Let you...)
72235-1-vthirdinftone|ᎤᏓᏪᎳᎩᏍᏗ|U:dawě:lágì:sdi.|For him to be burning (flames) (For him to...)
72235-1-vthirdpasttone|ᎤᏓᏪᎳᎬᎢ|Ù:dawě:lágv̌:ɂi.|He did burn (flames) (He did...a while ago)
72235-1-vthirdprestone|ᎠᏓᏪᎳᎩᏍᎪᎢ|À:dawě:lágì:sgó:ɂi.|It is usually burning (flames) (He usually...)
72236-1-entrytone|ᎠᏓᏪᎳᎩᏍᎩ|Adawě:lagì:sgi.|Flame
72236-1-nounadjpluraltone|ᏗᏓᏪᎳᎩᏍᎩ|Di:dawě:lagì:sgi.|Flame (plural)
72237-1-entrytone|ᎠᏓᏪᎳᎩᏍᎩ|Adawe:lagì:sgi.|Gunpowder
72238-1-entrytone|ᎠᏓᏪᏐᎸᏍᏗᎭ|À:dawé:so:lv̌:sdíha.|He is resting
72238-1-vfirstprestone|ᎦᏓᏪᏐᎸᏍᏗᎭ|Gadawé:so:lv̌:sdíha.|I am resting (I am...)
72238-1-vsecondimpertone|ᎭᏓᏪᏐᎸᏍᏓ|Hadawè:sǒ:lv́:sda.|Let you be resting (Let you...)
72238-1-vthirdinftone|ᎤᏓᏪᏐᎸᏍᏙᏗ|U:dawè:sǒ:lv́:sdohdi.|For him to be resting (For him to...)
72238-1-vthirdpasttone|ᎤᏓᏪᏐᎸᏍᏔᏅᎢ|Ù:dawé:so:lv̌:stánv̌:ɂi.|He did rest (He did...a while ago)
72238-1-vthirdprestone|ᎠᏓᏪᏐᎸᏍᏗᏍᎪᎢ|À:dawé:so:lv̌:sdí:sgó:ɂi.|He is usually resting (He usually...)
72239-1-entrytone|ᎠᏓᏫ|Ǎ:dáwi.|Adam
72240-1-entrytone|ᎠᏓᏬᎠ|À:dawó:ɂa.|1. he is bathing  2. he is swimming
72240-1-vfirstprestone|ᎦᏓᏬᎠ|Gadawó:ɂa.|1. I am bathing  2. I am swimming (I am...)
72240-1-vsecondimpertone|ᎭᏓᏬᏣ|Hadawǒ:ja.|1. Let you be bathing  2. Let you be swimming (Let you...)
72240-1-vthirdinftone|ᎤᏓᏬᏍᏗ|U:dawò:sdi.|1. For him to be bathing  2. For him to be swimming (For him to...)
72240-1-vthirdpasttone|ᎤᏓᏬᎥᎢ|Ù:dawó:ɂv̌:ɂi.|1. He did bath  2. He did swimm (He did...a while ago)
72240-1-vthirdprestone|ᎠᏓᏬᏍᎪᎢ|À:dawó:sgó:ɂi.|1. he is usually bathing  2. he is usually swimming (He usually...)
72241-1-entrytone|ᎠᏓᏬᏍᏗᎢ|Adawò:sdi̋:ɂi.|Swimming pool
72241-1-nounadjpluraltone|ᏗᏓᏬᏍᏗᎢ|Di:dawò:sdi̋:ɂi.|Swimming pool (plural)
72242-1-entrytone|ᎠᏓᏴᎳᏛᏍᎩ|Adayv̌:latvsgi.|Television
72242-1-nounadjpluraltone|ᏗᏓᏴᎳᏛᏍᎩ|Di:dayv̌:latvsgi.|Television (plural)
72243-1-entrytone|ᎠᏕᎭ|À:dé:ha.|He is giving him a long  object
72243-1-vfirstprestone|ᏥᏕᎭ|Ji:dé:ha.|I am giving him a long  object (I am...)
