"id","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","definitiond"
72243,"a1de3ha",,"ji2de3ha","hi2di1si","u2de3hdi","u1de3lv23?i","a1de3ho3?i","he's giving him a long  object"
72244,"a1de2hloh2gwa.3?a","","ga.2de1loh2gwa.3?a","ha.2de2hloh2gwa","u2de2hloh2gwa1sdi","u1de2hloh2gwa.3?v23?i","a1dehloh2gwa32sgo3?i","he's learning, he's learning it"
72245,"a1de2ho23hi.3sdi.2ha","","ji2ya.2de2?o23hi.3sdi.2ha","hi2ya.2de.2?o2hi.2sda","u2de2ho23hi.3sdoh2di","u1de2ho23hi.23sta.2nv23?i","a1de2ho23hi.3sdi2sgo3?i","he's embarrassing him"
72246,"a1de2ho23sga","","ga.2de.2?o23sga","ha.2de2ho23hi","u2de2ho23hi.3sdi","u1de2ho23sv3?i","a1de2ho23sgo.3?i","he's embarrassed"
72247,"a1de2hv.3sga","","ga.2de.2?v.3sga","ha2de2hv1ga","u2deh2di","u1de2hnv23?i","a1de2hv.2sgo3?i","he's being born"
72248,"a.2de23la","","","","","","","money"
72249,"a.2del23diyh2di4?i, a.2del23ju2niyh2di4i","","","","","","","bank"
72250,"a.2del23ju23hlv4?i","","","","","","","California"
72251,"a1de2lo.2ho2sga","","ga.2de2lo.2?o2sga","ha.2de2lo.2ho23hi","u2de2lo.2ho2hi.3sdi","u1de2lo.2ho2sv23?i","a1de1lo.2ho2sgo3?i","he's finding it out"
72252,"a.3de2lv4?i","","","","","","","dollars"
72253,"a1de2tv.3sga","","ga2de3dv.2sga","ha.2de2tv1ga","u2de2tdi","u1de23ti.3nv3?i","a1de2tv.3sgo.3?i","he's diving"
72254,"a1de3yo.2ha","","ga2de2yo.2ha","ha2de2ya.2ga","u2dey23sdi","u1de23yo32lv23?i","a1de3yo.2hoi","1. he's going around a curve  2. he's turning off the road  3. he's circling it"
72255,"a1de3yo.2hv4?i","da1de3yo.2hv4?i","","","","","","curve"
72256,"a1di.3?a",,"ji.2di.3?a","hi.2da","u2di1sdi","u1dv23?i","a1di32sgo3?i","he's laying a long object down"
72257,"a1di2di.3ha","","ga.2di2di3?a","ha.2di23da","u2di2tdi","u1di2dv2hv23?i","a1di2di23sgo.3?i","he's rising from a prone position"
72258,"a1di2ga.2le23ya.3?a","","ga.2di2ga.2le23ya.3?a","ha.2di2ga.2le23ya","u2di2ga.2le23ya32sdi","u1di2ga.2le3yv23?i","a1di2ga.2le23ya32sgo3?i","he's scattering it"
72259,"a1di2ga.2le23yo32ga","","-----","-----","u2di2ga.2le23yoy32sdi","u1di2ga.2le23yo32jv23?i","a1di2ga.2le23yo32go3?i","it's scattering"
72260,"a1di3gwa.2lv2de3yo.2ha","","ga2di3gwa.2lv2de3yo.2ha","ha2di1gwa2lv2de2ya.2ga","u2di1gwa.2lv2dey23sdi","u1di3gwa.2lv2de23yo32lv23?i","a1di3gwa.2lv2de2yo.2ho3?i","he, it's spinning, rotating"
72261,"a1di.2ha","","ga.2di3?a","ha.2da","u2tdi","u1dv2hnv23?i","a1di23sgo.3?i","he's saying it"
72262,"a1di23nv32di.2ha","","ji2ya.2di23nv32di.2ha, ga.2di23nv32di.2ha","hi2ya.2di2nv1da, ha2di2nv1da","u2di23nv32doh2di","u1di23nv32ta.2nv23?i","a1di23nv32di2sgo3?i","he's running over him, it"
72264,"a1di2sga.2hlv.3sga","","ga.2di1sga.2hlv.3sga","ha.2di2sga.2hlv1ga","u2di2sgahl2di","u1di2sga.2hla.3nv3?i","a1di2sga.2hlv.2sgo.3?i","he's hiding"
72265,"a1di32si2ya.3?a","","ji.2di32si2ya.3?a","hi.2di1si23ya","u2di1si23ya32sdi","u1di32si2yv23?i","a1di23si2ya32sgo3?i","he's leaving a long object behind"
72266,"a.2di23ta.2sdi","di1di23ta.2sdi","","","","","","something to drink"
72267,"a1di2ta.3sga","","ga.2di1ta.3sga","ha.2di23ta","u2di2ta.2sdi","u1di2ta.2hv23?i","a1di2ta.2sgo3?i","he's drinking it"
72268,"a.2di2toh3di","di2di2toh3di","","","","","","spoon"
72269,"a2dla","","","","","","","1. rubber,  2. chewing gum"
72270,"a1dla.2go23sga",,"ga.2dla.2go3sga","ha.2dla.2go23la","u2dla.2go23sdi","u1dla.2go3sv3?i","a1dla.2go23sgo.3?i","he's scratching"
72271,"a2dla.wa.?3dv4?i","da1dla23wa.?3dv4?i","","","","","","pocket"
72272,"a1dle3?a","","ga.2dle3?a","ha.2dla.2gi","u2dle1sdi","u1dle3sv23?i","a1dle3sgo3?i","he's turning off the road"
72273,"a1dle3che.2ha","","ji2ya.2dle3che.2ha","hi2ya.2dle1chi.2si","u2dle1cheh3di","u1dle3che2lv23?i","a1dle3che.2ho3?i","he's taking revenge against him"
72274,"a.2dle1?i.3sdi","","","","","","","revenge"
72275,"a.2dle1sa.2do","di2dle1sa.2do","","","","","","apron"
72276,"a1dle3sgv4?i","da1dle3sgv4?i","","","","","","turn-off"
72277,"a1dli.3?a","","ji.2dli.3?a","hi.2dli1ga","u2dli1sdi","u1dlv23?i","a1dli32sgo3?i","he's pouring liquid in a container"
72278,"a.2dli.2?a.2do","di2dli.2?a.2do","","","","","","earring"
72279,"a1dli32ga","","-----","-----","u2dliy1sdi","u1dli32jv23?i","a1dli32go3?i","1. it's pouring into a container (liquid), 2. it's filling"
72280,"a1dli23ha","","ji.2dli.3?a","hi.2dla","u2dlvh2di","u1dlv2hv23?i","a1dli23sgo.3?i","he's drawing a liquid out of a container"
72281,"a1dli32sdi.2ha","","ji.2dli32sdi.2ha","hi.2dli1sda","u2dli1sdoh2di","u1dli32sta.2nv23?i","a1dli32sdi2sgo3?i","he's pouring liquid in a container"
72282,"a.3dli1sdoh2di","di23dli1sdoh2di","","","","","","container (for liquid)"
72283,"a1dlo2hyi.3ha","","ga.2dlo1yi.3ha","ha.2dloyh2ga","u2dloy2sdi","u1dlo2hyi.3lv23?i","a1dlo2hyi.3ho.3?i","he's crying"
72284,"a1dloy2sga","","ga.2dloys3ga","ha.2dlo1hi","u2dlo1hi.3sdi","u1dloy3sv23?i","a1dloy3sgo3?i","he's getting off"
72285,"a1dlv23kwsga","","ga.2dlv23gwa32sga","ha.2dlv23kwa","u2dlv23kwi.3sdi","u1dlv23kwsv23?i","a1dlv23kwsgo.3?i","he's bragging"
72286,"a1dlv2ta.3sga","","ji2ya.2dlv1ta.3sga, ga.2dlv1ta.3sga","hi2ya.2dlv1ta, ha.2dlv23ta","u2dlv2ta.2sdi","u1dlv2ta.2hv23?i","a1dlv2ta.2sgo3?i","he's catching up with him, it"
72287,"a.2do2la.2nv3sdi","di2do2la.2nv3sdi","","","","","","walking cane"
72288,"a2do23ni4sgi","di2na2do23ni4sgi","","","","","","sorcerer"
72289,"a.2du2da.2le4sdi","","","","","","","freedom"
72290,"A.2dv.2ji","A.2ni2dv.2ji","","","","","","1. Dutch, 2. German"
72291,"a1dv3ne.2ha","","ga.2dv2ne.2ha","ha.2dv1ga","u2dvnh1di","u1dv3ne2lv23?i","a1dv3ne2ho3?i","he's doing it"
72292,"a1dv3ne2li.3ha","","ga.2dv3ne2li.3ha","ha.2dv1ne23la","u2dv1nehl23di","u1dv3ne2lv2hnv23?i","a1dv3ne2li23sgo.3?i","he's acting silly"
72293,"a.2dv1ne23li4sgi","a.2na.2dv1ne34li4sgi","","","","","","actor"
72294,"a1dv2nv3?i.2sdi.3ha","","ga.2dv2nv3?i.2sdi.3ha","ha.2dv2nv2?i.2sda","u2dv2nv.2?i.2sdoh3di","u1dv2nv3?i.2sta.3nv3?i","a1dv2nv3?i.2sdi23sgo.2?i","1. he's preparing it.  2. he's getting ready"
72295,"a.2ga2da2ha4?i","a.2ni2ga2da2ha4?i","","","","","","dirty (animate)"
72296,"a.2ga.2hli4yi","a.2ni2ga.2hli4yi","","","","","","eager"
72297,"a1ga3li.2ha","","-----","-----","u2ga2li23hi.3sdi","u1ga3li2sv23?i","a1ga3li2sgo3?i","it's (sun or moon) shining"
72298,"a1gal32sga","","ji.2gal32sga","hi.2ga.?2la","u2gal1sdi","u1gal32sv23?i","a1gal32sgo3?i","1.  he's breaking a flexible object, 2. He's cutting a flexible object"
72299,"a2ga.2lu23ga","","","","","","","twister (tornado)"
72300,"a1ga.2na23di.3?a",,"ji.2ga.2na23di.3?a","hi.2ga.2na23da","u2ga.2na23di32sdi","u1ga.2na23dv23?i","a1ga.2na23di32sgo3?i","he's licking it"
72301,"a.2ga.?3na.2kti","a.2ni2ga.?3na.2kti","","","","","","doctor"
72302,"a1ga2nawh2di.3ha","","ji.2ga2na.2wo1di.3ha, ji2ga2na.2wo1di.3ha","hi.2ga2nawh2da, hi2ga2na.2wo1da","u2ga2nawh2doh3di","u1ga2nawh2ta.2nv3?i","a1ga2nawh2di23sgo.3?i","he's warming it"
72303,"a1ga2na.2wo2sga",,"-----","-----","u2ga2na.2wo2hi.2sdi","u1ga2na.2wo2sv23?i","a1ga2na.2wo2sgo3?i","it's getting warm"
72304,"a1ga2sga","","-----","-----","u2ganh2di","u1ga2hna.2nv3?i","a1ga2sgo3?i","it's raining"
72305,"a.2ga1su2ye4da","ge2ga1su2ye4da","","","","","","a person who has been chosen"
72306,"a.2ga2ya.2lu3di","di2ga2ya.2lu3di","","","","","","seine"
72307,"a.2ga.2yv4li","a.2ni2ga.2yv4li","","","","","","old (animate)"
72308,"a.2ga.2yv23li.3ge4?i","a.2ni2ga.2yv23li.3ge4?i","","","","","","old woman"
72309,"a3ge4","","","","","","","over there"
72310,"a.2ge23hya","a.2ni2ge23hya","","","","","","woman"
72311,"a.2ge2hyu4ja","a.2ni2ge2hyu4ja","","","","","","girl"
72312,"agi-","","","","","","","first person, singular subject (see Gram. I, B)"
72313,"a1gi.3?a","","ji.2gi.3?a","hi.2ga","u2gi1sdi","u1gv23?i","a1gi32sgo3?i","he's eating it (a single solid food)"
72314,"a1gi3?a","","ji.2gi3?a","hi.2gi","u2gi1sdi","u1gi3sv23?i","a1gi3sgo3?i","1. he's picking it up  2. he's getting it"
72315,"a.2gi2hli4yi","","","","","","","agony, pain"
72316,"a1gi2hli23yo32ga","","ji.2gi1li23yo32ga","hi.2gi2hli2yo1gi","u2gi2hli23yo3sdi","u1gi2hli23yo32jv23?i","a1gi2hli23yo32go3?i","he's in agony, pain"
72317,"a.2gi4na","a.2ni2gi4na","","","","","","young animal (not born in litter or hatched)"
72318,"a.2gi1sdi","","","","","","","something to eat (single solid)"
72319,"a1gi32sdo.2?a","","ji.2gi23sdo.2?a","hi.2gi1sdo23ja","u2gi1sdo1sdi","u1gi32sdo.2?v23?i","a1gi32sdo1sgo3?i","he's chewing it"
72320,"a.2gi23si","a.2ni2gi23si","","","","","","female animal"
72321,"a1go.3hv.2sdi.3ha","","ji2ya.3go.2hv.2sdi.3ha, ga.3go.2hv.2sdi.3ha","hi2ya.2go.2hv.2sda, ha.2go.2hv.2sda","u2go.2hv.3sdoh2di","u1go.3hv.2sta.3nv3?i","a1go.3hv.2sdi23sgo.3i","he's burning him, it"
72322,"a1go.3hv.2sga","","ga.3go.2hv.3sga","ha.2go.2hna","u2go.3hv.3sdi","u1go.2hnv23?i","a1go.3hv.2sgo3?i","he, it's burning"
72323,"a.2go2la","a.2ni2go2la","","","","","","perch"
72324,"a1go2li23ye.3?a","","ji2go2li23ye.3?a, ji.2go2li23ye.3?a","hi2go2li23ya, hi.2go2li23ya","u2go2li23ye32di","u1go2li23ye.3?v23?i","a1go2li23ye32sgo3?i","1. he's reading, 2. he's examining him, it"
72325,"a.2go2na","","","","","","","famine"
72326,"a3go2ni.3ha","","ga3go2ni.3ha","ha1go23na","u1gonh23di","u3go2nv2hv23?i","a3go2ni23sgo3?i","he's target practicing"
72327,"a.2go3sda.2gi32sdi","","","","","","","lettuce"
72328,"a.2go4sdi","a.2ni2go4sdi","","","","","","raw"
72329,"a1gowh2ti.3ha","","ji2gowh1ti.3ha, ji.2gowh1ti.2ha","hi2go1wah2ta, hi.2go2hwah2ta","u2gowh2tvh3di","u1go2hv23?i","a1gowh2ti23sgo.3?i","he sees him, it"
72330,"a.2gowh23tvh2di","","","","","","","sight"
72331,"a1gowh2tvh2di.3ha","","ji2gowh1tvh2di.3ha","hi2gowh1tvh2da","u2gowh2tvh2doh3di","u1gowh2tvh2ta.2nv3?i","a1gowh2tvh2di23sgo.3?i","he's showing it to him"
72332,"A.2gu23sa","A.2ni2gu23sa","","","","","","Creek (Indian)"
72333,"a.2gv2da.2ge4ni","","","","","","","his forehead"
72334,"a1gv2ha.2li.3ha","","ji.2gv2?a.2li.3ha","hi.2gv2ha.2la","u2gv2hahl2di","u1gv2ha.2lv2hv23?i","a1gv2ha.2li23sgo.3?i","1. he's cutting it, 2. he's slicing it"
72335,"a1gv2ha.3luy32sga","","ji.2gv.2?a.2luy32sga","hi.2gv2ha.2lu1hya","u2gv2ha.2luy1sdi","u1gv2ha.2lu32hyv23?i","a1gv2ha.2luy32sgo3?i","he's chopping it up"
72336,"a.2gv2ha.2lv4da","di2gv2ha.2lv4da","","","","","","a piece of something that's been cut"
72337,"a.2gv23hna.3ge4?i","a.2ni2gv23hna.3ge4?i","","","","","","Black person, Negro"
72338,"a1gv2sgo23lv32sga","","ji2gv1sgo23lv32sga","hi2gv1sgo2lv.2?v1ga","u2gv2sgo23lv32di","u1gv2sgo23lv32nv23?i","a1gv2sgo23lv32sgo3?i","he's scolding him"
72339,"a1gv2sgwo3?a","","ga.2gv1sgwo3?a","ha.2gv2sgwo23ja","u2gv2sgwo1sdi","u1gv2sgwo3?v23?i","a1gv2sgwo3sgo3?i","he's washing his face"
72340,"agw-","","","","","","","(see agi-) first person subject (see Gram. I, B)"
72341,"a.2ha.2la4da","di2ni2ha.2la4da","","","","","","loudmouth"
72342,"a1ha.2lu23gi.3?ha","","ji.2?a.2lu23gi.3?a","hi.2?a.2lu23gi","u2ha.2lu23gi32sdi","u1ha.2lu23gi.32sv23?i","a1ha.2lu23gi32sgo3?i","1.  he's diverting him, it, 2. he's flagging him, it down"
72343,"a.3ha.2ni, a.3hni","","","","","","","here"
72344,"a.2ha.2wi, a.2hwi","","","","","","","deer"
72345,"a1ha.2wo3sdi.2ha","","ji.2?a.2wo3sdi.2ha","hi.2?a.2wo1sda","u2ha.2wo1sdoh2di","u1ha.2wo3sta.2nv23?i","a1ha.2wo3sdi2sgo3?i","he's smothering him, it"
72346,"a.2hi4da","di2hi4da","","","","","","easy"
72347,"a1hi23do32ha","","ji.2?i23do32ha","hi.2hi23da","u2hi23da32sdi","u1hi23do32lv23?i","a1hi23do32ho3?i","he's handling it, he has it in his hand"
72348,"a1hi.3ha","","ji.2?i.3ha","hi2lu1ga","u2hi.2sdi","u1hlv23?i","a1hi.2ho3?i","he's killing him, it"
72349,"a1hi.?3le2ha","","ji.2?i.3le2ha","-----","u2hi.?2lv1sdi","-----","a1hi.?3le1ho3?i","he has possession of a vehicle"
72350,"a1hi.?3li","","ji.2?i.3li","-----","u2hi?2lv1sdi","u1hi.?3lv3sv23?i","a1hi.?3li3so3?i","he's driving it (vehicle in motion or animal)"
72351,"a.2hi.?2lv1sdi4?i","di2hi.?2lv1sdi4?i","","","","","","steering wheel"
72353,"a1hi2ya.3?a","","ji.2?i2ya.3?a","hi.2hi23ya","u2hi34ya32sdi","u1hi3yv23?i","a1hi2ya32sgo3?i","he's leaving it behind"
72354,"a1hla.2hv.3sga",,"ji1hla.2hv.3sga","hi.2hla.2hv1ga","u2hloh2di","u1hla.2hv23?sga","a1hla.2hv.3sgo.3?i","he's placing it on something"
72355,"a1hla.2wi2di.3ha","","ga.2dla.2wi2di.3ha","ha.2hla.2wi23da","u2hla.2wi2tdi","u2hla.2wi2dv2hv23?i","a1hla2wi2di23sgo.3?i","he's taking off flying, its flying away"
72356,"a.2hla.2wi2di4sgi","di2hla.2wi2di4sgi","","","","","","something that flies away"
72357,"a1hla.2wi2tdi.3ha","","ji2ya.2dla.2wi2tdi.3ha, ga.2dla.2wi2tdi.3ha","hi2ya.2dla.2wi2tda, hahlawitda","u2hla.2wi2tdo.h3di","u1hla.2wi2tda.3nv3?i","a1hla.2wi2tdi23sgo.3?i","he's making him, it fly"
72358,"a.2hla.2wi2tdi4sgi","a.2na.2hla.2wi2tdi4sgi","","","","","","person who makes it fly"
72359,"a1hli.2gi3?a","","ga.2dli.2gi3?a","ha.2hli.2gi","u2hli.2gi1sdi","u1hli.2gi3sv23?i","a1hli.2gi3sgo3?i","he's having a nightmare"
72360,"a1hli.3?i.2li23do32ha","","","","u2hli.2?i.2li23da32sdi","u1hli.3?i.1li23do32lv23?i","a1hli.3?ilido32ho3?i","its taking time"
72361,"a1hli2lo3?a","","ga.2dli2lo3?a","ha.2hli2lo23ja","u2hli2lo1sdi","u1hli2lo3?v23?i","a1hli2lo3sgo3?i","he's measuring it"
72362,"a.2hli2lo4sdi","di2hli2lo4sdi","","","","","","ruler"
72363,"a1hli.2yvhgwidvsga","","--","--","u2hli.2yvh2gwi.2dv1di","u1hli.2yvh2gwi.2dv32nv23?i","a1hli.2yvh2gwi.2dv32sgo3?i","it's bending"
72364,"a1hli.2yv23sa.3naw1sdi.3ha","","ga.2li1yv23sa.3naw1sdi.3ha","ha.2hli.2yv2sa.2naw1sda","u2hli.2yv23sa.3naw1sdoh3di","u1hli.2yv23sa.3naw1sta.2nv3?i","a1hli.2yv23sa.3naw1sdi23sgo3?i","he's snorting"
72365,"ahl1ja.2do23hv.3sga","","ga.2li1ja.2do23hv.3sga","hahl2ja.2do2hv1ga","uhl2ja.3tdi","uhl1ja.2do23hnv3?i","ahl1ja.2do23hv.3sgo3?i","he's preaching"
72366,"ahl2ja.2do4hv.2sgi","a.2nahl2ja.2do4hv.2sgi","","","","","","preacher"
72367,"ahl1ko2dv2sga","","--","--","--","uhl1ko2dv2hnv23?i","ahl1ko2dv2sgo3?i","it's shattering"
72368,"ahl1ko2tdi.3ha","","ga.2li1ko2tdi.3ha","hahl2ko2tda","uhl2ko2tdoh3di","uhl1ko2tta.2nv3?i","ahl1ko3tdi23sgo.3?i","he's shattering it"
72369,"a.3hloh2di","di23hloh2di","","","","","","phonograph record"
72370,"a1hlo2sga","","ji1hlo2sga","hi1hlo23hi","u2hlo2hi.2sdi","u1hlo2sv23?i","a1hlo2sgo3?i","he's beating him at a game"
72371,"ahl1ta.2wo3?a","","ga.2li1ta.2wo3?a","hahl2ta.2wo23ja","uhl2ta.2wo1sdi","uhl1ta.2wo3?v23?i","ahl1ta.2wo3sgo3?i","he's combing his hair"
72372,"ahl2ta.2wo3sdi","dihl2ta.2wo3sdi","","","","","","comb"
